user_id,date,selection,city,neighborhood,gender,student,children,vehicle,family_status,age,category_name,choices,open notes,choise_1,choise_2,choise_3,choise_4,choise_5,choise_6,choise_7,choise_8,choise_9,choise_10,,,,,,,,,,
1230,13022019  10:45:25,בית,באר שבע,א,זכר,כן,יש,יש,,,דברים לבית,"משתלה,מוצרי בישול ואפייה, חנות כלי בית",,משתלה,מוצרי בישול ואפייה, חנות כלי בית,,,,,,,,,,,,,,,,,
1230,13022019  10:45:31,בית,באר שבע,א,זכר,כן,יש,יש,,,מצרכים ומוצרים,"סופרמרקט ,חנות תבלינים ",,סופרמרקט ,חנות תבלינים ,,,,,,,,,,,,,,,,,,
66,12022019  13:47:39,בית,באר שבע,א,נקבה,כן,יש,יש,married,29,מצרכים ומוצרים,חנות ירקות ופירות ,,חנות ירקות ופירות ,,,,,,,,,,,,,,,,,,,
352,12022019  15:37:38,בית,באר שבע,א,זכר,לא,יש,יש,married,32,מסעדות ובתי קפה,"מסעדת שף,בית קפה שכונתי שהוא לא רשת,בית קפה של רשת מוכרת,גלידריה,פיצריה,בר סלטים,סושיה,מסעדה טבעונית\ צמחונית",,מסעדת שף,בית קפה שכונתי שהוא לא רשת,בית קפה של רשת מוכרת,גלידריה,פיצריה,בר סלטים,סושיה,מסעדה טבעונית, צמחונית,,,,,,,,,,,
352,12022019  15:37:59,בית,באר שבע,א,זכר,לא,יש,יש,married,32,שירותים מקצועיים,"מכבסה,שרותי צילום והדפסה,פרסום,עיצוב וגרפיקה,פסיכולוג,בנק\ כספומט,חלל עבודה משותף",,מכבסה,שרותי צילום והדפסה,פרסום,עיצוב וגרפיקה,פסיכולוג,בנק, כספומט,חלל עבודה משותף,,,,,,,,,,,,
352,12022019  15:38:13,בית,באר שבע,א,זכר,לא,יש,יש,married,32,"תחביבים, ספורט ופנאי","חדר בריחה,השכרת אופניים\ קורקינט, חנות אופניים,בריכת שחיה,חנות כלי נגינה,חנות צילום ,יוגה\ פילאטיס\ זומבה,פאב\ בר",,חדר בריחה,השכרת אופניים, קורקינט, חנות אופניים,בריכת שחיה,חנות כלי נגינה,חנות צילום ,יוגה, פילאטיס, זומבה,פאב, בר,,,,,,,,
352,12022019  15:38:27,בית,באר שבע,א,זכר,לא,יש,יש,married,32,הורים וילדים,"בגדי ילדים, חנות ממתקים ,חנות מתנות ,ג\\'ימבורי,חנות ספרים ,חוגים,שיעורי נגינה,שיעורים פרטיים לתלמידים,גנים,מוצרי תינוקות",,בגדי ילדים, חנות ממתקים ,חנות מתנות ,ג,,"ימבורי,חנות ספרים ,חוגים,שיעורי נגינה,שיעורים פרטיים לתלמידים,גנים,מוצרי תינוקות",,,,,,,,,,,,,,
893,13022019  08:18:28,בית,באר שבע,א,נקבה,לא,אין,יש,married,27,אופנה וטיפוח,רשת בגדים גדולה,,רשת בגדים גדולה,,,,,,,,,,,,,,,,,,,
893,13022019  08:18:41,בית,באר שבע,א,נקבה,לא,אין,יש,married,27,בחירה חופשית,"בנק\ כספומט,,",,בנק, כספומט,,,,,,,,,,,,,,,,,,
24,12022019  11:15:52,עבודה,באר שבע,א,,לא,אין,אין,divorced,97,קופת חולים ופארם,"בית מרקחת\ חנות פארם,מרפאת שיניים ,דיאטה ותזונה,מוצרים אורטופדיים",,בית מרקחת, חנות פארם,מרפאת שיניים ,דיאטה ותזונה,מוצרים אורטופדיים,,,,,,,,,,,,,,,
24,12022019  11:15:56,עבודה,באר שבע,א,,לא,אין,אין,divorced,97,מצרכים ומוצרים,"קצב \ קצבייה,חנות ירקות ופירות ,סופרמרקט ,קיוסק \ פיצוציה",,קצב , קצבייה,חנות ירקות ופירות ,סופרמרקט ,קיוסק , פיצוציה,,,,,,,,,,,,,,
24,12022019  11:16:01,עבודה,באר שבע,א,,לא,אין,אין,divorced,97,"תחביבים, ספורט ופנאי","מכון כושר,השכרת אופניים\ קורקינט",,מכון כושר,השכרת אופניים, קורקינט,,,,,,,,,,,,,,,,,
24,12022019  11:16:26,עבודה,באר שבע,א,,לא,אין,אין,divorced,97,בחירה חופשית,"רוצחים שכירים,חנות סקס,מכון הימורים",,רוצחים שכירים,חנות סקס,מכון הימורים,,,,,,,,,,,,,,,,,
1443,13022019  12:54:20,בית,באר שבע,א,נקבה,לא,אין,אין,single,26,קופת חולים ופארם,"בית מרקחת\ חנות פארם,מרפאת שיניים ,קופת חולים",,בית מרקחת, חנות פארם,מרפאת שיניים ,קופת חולים,,,,,,,,,,,,,,,,
1443,13022019  12:54:35,בית,באר שבע,א,נקבה,לא,אין,אין,single,26,שירותים מקצועיים," חנות ומעבדת סלולר ,דואר,בנק\ כספומט",,חנות ומעבדת סלולר,דואר,בנק, כספומט,,,,,,,,,,,,,,,,
1443,13022019  12:54:50,בית,באר שבע,א,נקבה,לא,אין,אין,single,26,"תחביבים, ספורט ופנאי","מכון כושר,חנות צילום ,מועדון",,מכון כושר,חנות צילום ,מועדון,,,,,,,,,,,,,,,,,
1443,13022019  12:55:01,בית,באר שבע,א,נקבה,לא,אין,אין,single,26,הורים וילדים,"בגדי ילדים,חנות ספרים ,גנים,מוצרי תינוקות",,בגדי ילדים,חנות ספרים ,גנים,מוצרי תינוקות,,,,,,,,,,,,,,,,
1960,13022019  19:27:01,בית,באר שבע,א,נקבה,לא,יש,יש,married,27,מסעדות ובתי קפה,"בית קפה שכונתי שהוא לא רשת,בית קפה של רשת מוכרת,מיצים טבעיים,מסעדה טבעונית\ צמחונית",,בית קפה שכונתי שהוא לא רשת,בית קפה של רשת מוכרת,מיצים טבעיים,מסעדה טבעונית, צמחונית,,,,,,,,,,,,,,,
1960,13022019  19:27:16,בית,באר שבע,א,נקבה,לא,יש,יש,married,27,שירותים מקצועיים," חנות ומעבדת סלולר ,מכבסה",,חנות ומעבדת סלולר,מכבסה,,,,,,,,,,,,,,,,,,
1960,13022019  19:27:37,בית,באר שבע,א,נקבה,לא,יש,יש,married,27,"תחביבים, ספורט ופנאי","מכון כושר,בריכת שחיה,חנות כלי נגינה,אימון אישי (כושר),יוגה\ פילאטיס\ זומבה,פאב\ בר",,מכון כושר,בריכת שחיה,חנות כלי נגינה,אימון אישי (כושר),יוגה, פילאטיס, זומבה,פאב, בר,,,,,,,,,,,
1960,13022019  19:27:48,בית,באר שבע,א,נקבה,לא,יש,יש,married,27,הורים וילדים,"ג\\'ימבורי,חנות ספרים ,חוגים,שיעורי נגינה",,ג,,"ימבורי,חנות ספרים ,חוגים,שיעורי נגינה",,,,,,,,,,,,,,,,,
1960,13022019  19:28:03,בית,באר שבע,א,נקבה,לא,יש,יש,married,27,בחירה חופשית,"ג\\'ימבורי,,",,ג,,"ימבורי,,",,,,,,,,,,,,,,,,,
660,13022019  07:36:16,עבודה,באר שבע,א,נקבה,לא,יש,יש,married,40,מסעדות ובתי קפה,"בית קפה שכונתי שהוא לא רשת,בית קפה של רשת מוכרת,מסעדת אוכל ביתי ,מיצים טבעיים,חומוסיה,בר סלטים,סושיה",,בית קפה שכונתי שהוא לא רשת,בית קפה של רשת מוכרת,מסעדת אוכל ביתי ,מיצים טבעיים,חומוסיה,בר סלטים,סושיה,,,,,,,,,,,,,
660,13022019  07:36:30,עבודה,באר שבע,א,נקבה,לא,יש,יש,married,40,דברים לבית,"טמבוריה\ עשה זאת בעצמך,חנות פרחים,סטוק, חנות כלי בית,ציוד משרדי וכלי כתיבה ",,טמבוריה, עשה זאת בעצמך,חנות פרחים,סטוק, חנות כלי בית,ציוד משרדי וכלי כתיבה ,,,,,,,,,,,,,,
660,13022019  07:36:46,עבודה,באר שבע,א,נקבה,לא,יש,יש,married,40,מצרכים ומוצרים,"קצב \ קצבייה,מכולת,חנות דגים,חנות ירקות ופירות ,סופרמרקט ,חנות תבלינים ,חנות טבע",,קצב , קצבייה,מכולת,חנות דגים,חנות ירקות ופירות ,סופרמרקט ,חנות תבלינים ,חנות טבע,,,,,,,,,,,,
1298,13022019  11:18:17,בית,באר שבע,א,זכר,כן,יש,יש,married,31,מסעדות ובתי קפה,"בית קפה שכונתי שהוא לא רשת,גלידריה,בר סלטים,סושיה",,בית קפה שכונתי שהוא לא רשת,גלידריה,בר סלטים,סושיה,,,,,,,,,,,,,,,,
1298,13022019  11:18:37,בית,באר שבע,א,זכר,כן,יש,יש,married,31,אופנה וטיפוח,רשת בגדים גדולה,,רשת בגדים גדולה,,,,,,,,,,,,,,,,,,,
1298,13022019  11:19:12,בית,באר שבע,א,זכר,כן,יש,יש,married,31,הורים וילדים," חנות ממתקים ,ג\\'ימבורי,מוצרי תינוקות",,חנות ממתקים,ג,,"ימבורי,מוצרי תינוקות",,,,,,,,,,,,,,,,
1522,13022019  13:47:52,בית,באר שבע,א,נקבה,כן,אין,אין,single,27,מסעדות ובתי קפה,"בית קפה שכונתי שהוא לא רשת,בית קפה של רשת מוכרת,פיצריה,סושיה",,בית קפה שכונתי שהוא לא רשת,בית קפה של רשת מוכרת,פיצריה,סושיה,,,,,,,,,,,,,,,,
1522,13022019  13:48:10,בית,באר שבע,א,נקבה,כן,אין,אין,single,27,דברים לבית,"משתלה,טמבוריה\ עשה זאת בעצמך,סטוק,חנות רהיטים , חנות כלי בית",,משתלה,טמבוריה, עשה זאת בעצמך,סטוק,חנות רהיטים , חנות כלי בית,,,,,,,,,,,,,,
1522,13022019  13:48:25,בית,באר שבע,א,נקבה,כן,אין,אין,single,27,מצרכים ומוצרים,"קצב \ קצבייה,מכולת,חנות דגים,חנות ירקות ופירות ,סופרמרקט ,חנות תבלינים ",,קצב , קצבייה,מכולת,חנות דגים,חנות ירקות ופירות ,סופרמרקט ,חנות תבלינים ,,,,,,,,,,,,,
1522,13022019  13:48:37,בית,באר שבע,א,נקבה,כן,אין,אין,single,27,שירותים מקצועיים,"בנק\ כספומט,חלל עבודה משותף",,בנק, כספומט,חלל עבודה משותף,,,,,,,,,,,,,,,,,
1753,13022019  16:52:17,בית,באר שבע,א,נקבה,לא,יש,יש,married,32,הורים וילדים,"בגדי ילדים,ג\\'ימבורי",,בגדי ילדים,ג,,ימבורי,,,,,,,,,,,,,,,,
1752,13022019  16:52:22,בית,באר שבע,א,זכר,לא,יש,יש,married,32,הורים וילדים,"בגדי ילדים,ג\\'ימבורי",,בגדי ילדים,ג,,ימבורי,,,,,,,,,,,,,,,,
1758,13022019  16:54:31,בית,באר שבע,א,זכר,לא,יש,יש,married,32,שירותים מקצועיים,בנק\ כספומט,,בנק, כספומט,,,,,,,,,,,,,,,,,,
1792,13022019  17:15:55,בית,באר שבע,א,נקבה,כן,אין,אין,single,27,מסעדות ובתי קפה,"המבורגריה,בית קפה שכונתי שהוא לא רשת,בית קפה של רשת מוכרת,שיפודיה\ סטקייה ,אוכל מוכן וקייטרינג",,המבורגריה,בית קפה שכונתי שהוא לא רשת,בית קפה של רשת מוכרת,שיפודיה, סטקייה ,אוכל מוכן וקייטרינג,,,,,,,,,,,,,,
1792,13022019  17:16:16,בית,באר שבע,א,נקבה,כן,אין,אין,single,27,שירותים מקצועיים," חנות ומעבדת סלולר ,דואר,בנק\ כספומט",,חנות ומעבדת סלולר,דואר,בנק, כספומט,,,,,,,,,,,,,,,,
1792,13022019  17:16:35,בית,באר שבע,א,נקבה,כן,אין,אין,single,27,"תחביבים, ספורט ופנאי","בריכת שחיה,פאב\ בר",,בריכת שחיה,פאב, בר,,,,,,,,,,,,,,,,,
2160,14022019  02:15:14,בית,באר שבע,א,זכר,לא,יש,יש,married,30,הורים וילדים,"ג\\'ימבורי,גנים",,ג,,"ימבורי,גנים",,,,,,,,,,,,,,,,,
148,12022019  14:04:40,בית,באר שבע,א,נקבה,לא,אין,יש,single,30,מסעדות ובתי קפה,בית קפה שכונתי שהוא לא רשת,,בית קפה שכונתי שהוא לא רשת,,,,,,,,,,,,,,,,,,,
148,12022019  14:04:50,בית,באר שבע,א,נקבה,לא,אין,יש,single,30,דברים לבית,"טמבוריה\ עשה זאת בעצמך,סטוק",,טמבוריה, עשה זאת בעצמך,סטוק,,,,,,,,,,,,,,,,,
669,13022019  07:37:13,בית,באר שבע,א,נקבה,לא,אין,יש,single,,מסעדות ובתי קפה,"המבורגריה,מסעדת שף,בית קפה שכונתי שהוא לא רשת,מסעדת אוכל ביתי ,גלידריה,פיצריה,שיפודיה\ סטקייה ,בר סלטים,סושיה",,המבורגריה,מסעדת שף,בית קפה שכונתי שהוא לא רשת,מסעדת אוכל ביתי ,גלידריה,פיצריה,שיפודיה, סטקייה ,בר סלטים,סושיה,,,,,,,,,,
669,13022019  07:37:30,בית,באר שבע,א,נקבה,לא,אין,יש,single,,דברים לבית,"מוצרי בישול ואפייה,סטוק, חנות כלי בית",,מוצרי בישול ואפייה,סטוק, חנות כלי בית,,,,,,,,,,,,,,,,,
669,13022019  07:37:46,בית,באר שבע,א,נקבה,לא,אין,יש,single,,מצרכים ומוצרים,"קצב \ קצבייה,מכולת,חנות דגים,חנות ירקות ופירות ,סופרמרקט ,חנות תבלינים ,פיצוחים",,קצב , קצבייה,מכולת,חנות דגים,חנות ירקות ופירות ,סופרמרקט ,חנות תבלינים ,פיצוחים,,,,,,,,,,,,
1259,13022019  10:58:19,בית,באר שבע,א,נקבה,לא,יש,יש,married,44,"תחביבים, ספורט ופנאי"," חנות אופניים,יוגה\ פילאטיס\ זומבה",,חנות אופניים,יוגה, פילאטיס, זומבה,,,,,,,,,,,,,,,,
1259,13022019  10:58:39,בית,באר שבע,א,נקבה,לא,יש,יש,married,44,הורים וילדים,"ג\\'ימבורי,חוגים",,ג,,"ימבורי,חוגים",,,,,,,,,,,,,,,,,
1421,13022019  12:38:22,עבודה,באר שבע,א,נקבה,,יש,יש,married,36,מסעדות ובתי קפה,"המבורגריה,בית קפה של רשת מוכרת,שיפודיה\ סטקייה ,מאפיה\ קונדיטוריה,אוכל מוכן וקייטרינג",,המבורגריה,בית קפה של רשת מוכרת,שיפודיה, סטקייה ,מאפיה, קונדיטוריה,אוכל מוכן וקייטרינג,,,,,,,,,,,,,
1421,13022019  12:38:40,עבודה,באר שבע,א,נקבה,,יש,יש,married,36,קופת חולים ופארם,בית מרקחת\ חנות פארם,,בית מרקחת, חנות פארם,,,,,,,,,,,,,,,,,,
1487,13022019  13:24:16,עבודה,באר שבע,א,,,,,,,"תחביבים, ספורט ופנאי","חדר בריחה,בריכת שחיה",,חדר בריחה,בריכת שחיה,,,,,,,,,,,,,,,,,,
